,depth,id,remodel,unchanged,resorb,quad,bone_type,load,posi
83,5-10,PosteriorCortical_INF_75,26.138404625,7.6389425,66.222652875,Posterior,Cortical,75,INF
84,5-10,MedialCortical_INF_45,12.331077125,39.61147325,48.057449625,Medial,Cortical,45,INF
85,5-10,LateralCortical_INF_45,0.886002875,2.2913482500000004,96.822648875,Lateral,Cortical,45,INF
86,5-10,AnteriorCortical_INF_45,24.121204249999998,33.916069,41.962726875,Anterior,Cortical,45,INF
87,5-10,PosteriorCortical_INF_45,24.282647875000002,8.976621375,66.740730875,Posterior,Cortical,45,INF
88,5-10,MedialTrabecular_INF_75,30.214322,41.587977124999995,28.197701,Medial,Trabecular,75,INF
89,5-10,LateralTrabecular_INF_75,17.904266375,26.402504375,55.69322925,Lateral,Trabecular,75,INF
90,5-10,AnteriorTrabecular_INF_75,29.515296875,37.655372375,32.82933075,Anterior,Trabecular,75,INF
91,5-10,PosteriorTrabecular_INF_75,26.845798625,31.0124465,42.141755125,Posterior,Trabecular,75,INF
92,5-10,MedialTrabecular_INF_45,30.029186875,43.023876125,26.94693675,Medial,Trabecular,45,INF
93,5-10,LateralTrabecular_INF_45,19.726752125,27.002207124999998,53.271040875000004,Lateral,Trabecular,45,INF
94,5-10,AnteriorTrabecular_INF_45,30.826190875,37.568625875,31.605183125,Anterior,Trabecular,45,INF
95,5-10,PosteriorTrabecular_INF_45,26.4706445,31.61636025,41.912995375,Posterior,Trabecular,45,INF
96,10-15,MedialCortical_STD_75,11.035901375,74.547646125,14.416452375,Medial,Cortical,75,STD
97,10-15,LateralCortical_STD_75,3.5899131250000003,35.15557725,61.254509625,Lateral,Cortical,75,STD
98,10-15,AnteriorCortical_STD_75,26.470086875,71.840155625,1.6897575,Anterior,Cortical,75,STD
99,10-15,PosteriorCortical_STD_75,11.2525255,72.137098125,16.610376375,Posterior,Cortical,75,STD
100,10-15,MedialCortical_STD_45,14.873846,69.3394485,15.786705625000002,Medial,Cortical,45,STD
101,10-15,LateralCortical_STD_45,2.0216197499999997,36.058477124999996,61.919903375000004,Lateral,Cortical,45,STD
102,10-15,AnteriorCortical_STD_45,26.54566575,71.343899375,2.110434625,Anterior,Cortical,45,STD
103,10-15,PosteriorCortical_STD_45,11.337429499999999,61.811170249999996,26.851400124999998,Posterior,Cortical,45,STD
104,10-15,MedialTrabecular_STD_75,34.716062375,50.66584775,14.618089625,Medial,Trabecular,75,STD
